county_fips,state_name,state_abbreviation,county_name,population_year,population,county_pop_lat,county_pop_lon
01001,Alabama,AL,Autauga County,2020,56145,32.500197,-86.487818
01003,Alabama,AL,Baldwin County,2020,229287,30.537375,-87.761515
01005,Alabama,AL,Barbour County,2020,24589,31.844091,-85.301177
01007,Alabama,AL,Bibb County,2020,22136,33.032235,-87.136807
01009,Alabama,AL,Blount County,2020,57879,33.954605,-86.592575
01011,Alabama,AL,Bullock County,2020,9976,32.115906,-85.702397
01013,Alabama,AL,Butler County,2020,19504,31.776019,-86.652362
01015,Alabama,AL,Calhoun County,2020,113469,33.727216,-85.817938
01017,Alabama,AL,Chambers County,2020,32865,32.856442,-85.259676
01019,Alabama,AL,Cherokee County,2020,26294,34.180503,-85.62989
01021,Alabama,AL,Chilton County,2020,44397,32.879144,-86.688902
01023,Alabama,AL,Choctaw County,2020,12418,32.016122,-88.262418
01025,Alabama,AL,Clarke County,2020,23291,31.683493,-87.815825
01027,Alabama,AL,Clay County,2020,13112,33.274343,-85.817183
01029,Alabama,AL,Cleburne County,2020,14967,33.62522,-85.495735
01031,Alabama,AL,Coffee County,2020,53230,31.353218,-85.899579
01033,Alabama,AL,Colbert County,2020,55411,34.724343,-87.681889
01035,Alabama,AL,Conecuh County,2020,11851,31.416416,-86.997511
01037,Alabama,AL,Coosa County,2020,10650,32.976885,-86.15622
01039,Alabama,AL,Covington County,2020,36930,31.28415,-86.409248
01041,Alabama,AL,Crenshaw County,2020,13681,31.747322,-86.296816
01043,Alabama,AL,Cullman County,2020,84515,34.162653,-86.832644
01045,Alabama,AL,Dale County,2020,48959,31.383858,-85.637702
01047,Alabama,AL,Dallas County,2020,36098,32.41182,-87.035326
01049,Alabama,AL,DeKalb County,2020,71658,34.452726,-85.817295
01051,Alabama,AL,Elmore County,2020,82158,32.558523,-86.225307
01053,Alabama,AL,Escambia County,2020,36281,31.085446,-87.280019
01055,Alabama,AL,Etowah County,2020,102371,34.012184,-86.025905
01057,Alabama,AL,Fayette County,2020,16241,33.726912,-87.7675
01059,Alabama,AL,Franklin County,2020,31507,34.463509,-87.793571
01061,Alabama,AL,Geneva County,2020,26411,31.094508,-85.781409
01063,Alabama,AL,Greene County,2020,7990,32.833836,-87.924533
01065,Alabama,AL,Hale County,2020,14670,32.783296,-87.627917
01067,Alabama,AL,Henry County,2020,17223,31.469257,-85.271092
01069,Alabama,AL,Houston County,2020,106580,31.204795,-85.396331
01071,Alabama,AL,Jackson County,2020,51582,34.727292,-85.943413
01073,Alabama,AL,Jefferson County,2020,655342,33.517233,-86.811573
01075,Alabama,AL,Lamar County,2020,13764,33.761274,-88.108785
01077,Alabama,AL,Lauderdale County,2020,93368,34.86552,-87.608852
01079,Alabama,AL,Lawrence County,2020,32857,34.540864,-87.271599
01081,Alabama,AL,Lee County,2020,166831,32.592194,-85.359797
01083,Alabama,AL,Limestone County,2020,102228,34.803981,-86.922396
01085,Alabama,AL,Lowndes County,2020,9641,32.164245,-86.615194
01087,Alabama,AL,Macon County,2020,17895,32.429073,-85.711756
01089,Alabama,AL,Madison County,2020,379453,34.742996,-86.61535
01091,Alabama,AL,Marengo County,2020,18733,32.342371,-87.803493
01093,Alabama,AL,Marion County,2020,29703,34.110449,-87.876487
01095,Alabama,AL,Marshall County,2020,96990,34.311248,-86.291372
01097,Alabama,AL,Mobile County,2020,412716,30.684055,-88.175158
01099,Alabama,AL,Monroe County,2020,20459,31.498804,-87.364518
01101,Alabama,AL,Montgomery County,2020,224639,32.346474,-86.23379
01103,Alabama,AL,Morgan County,2020,119883,34.513892,-86.932012
01105,Alabama,AL,Perry County,2020,8687,32.584881,-87.369649
01107,Alabama,AL,Pickens County,2020,19793,33.284667,-88.074316
01109,Alabama,AL,Pike County,2020,32966,31.786042,-85.947008
01111,Alabama,AL,Randolph County,2020,22920,33.264692,-85.427417
01113,Alabama,AL,Russell County,2020,58237,32.414913,-85.054581
01115,Alabama,AL,Shelby County,2020,90739,33.660945,-86.374851
01117,Alabama,AL,St. Clair County,2020,221428,33.290341,-86.738928
01119,Alabama,AL,Sumter County,2020,12225,32.570981,-88.230913
01121,Alabama,AL,Talladega County,2020,79985,33.376934,-86.165683
01123,Alabama,AL,Tallapoosa County,2020,40133,32.851729,-85.864067
01125,Alabama,AL,Tuscaloosa County,2020,210758,33.214812,-87.518454
01127,Alabama,AL,Walker County,2020,63143,33.834208,-87.25056
01129,Alabama,AL,Washington County,2020,15976,31.413666,-88.195339
01131,Alabama,AL,Wilcox County,2020,10206,32.007448,-87.376931
01133,Alabama,AL,Winston County,2020,23508,34.164348,-87.415688
02013,Alaska,AK,Aleutians East Borough,2020,3401,54.673912,-163.737687
02016,Alaska,AK,Aleutians West Census Area,2020,5680,54.024464,-152.161888
02020,Alaska,AK,Anchorage Municipality,2020,287095,61.191545,-149.792112
02050,Alaska,AK,Bethel Census Area,2020,18437,60.667715,-162.166966
02060,Alaska,AK,Bristol Bay Borough,2020,788,58.733607,-156.832147
02068,Alaska,AK,Denali Borough,2020,2081,63.865119,-149.023745
02070,Alaska,AK,Dillingham Census Area,2020,4833,59.127771,-158.747157
02090,Alaska,AK,Fairbanks North Star Borough,2020,95651,64.831229,-147.623589
02100,Alaska,AK,Haines Borough,2020,2614,59.234183,-135.497713
02105,Alaska,AK,Hoonah-Angoon Census Area,2020,2141,58.123897,-135.427534
02110,Alaska,AK,Juneau City and Borough,2020,31849,58.360195,-134.533109
02122,Alaska,AK,Kenai Peninsula Borough,2020,59414,60.283966,-151.066806
02130,Alaska,AK,Ketchikan Gateway Borough,2020,13747,55.369058,-131.67859
02150,Alaska,AK,Kodiak Island Borough,2020,12992,57.774634,-152.454082
02164,Alaska,AK,Lake and Peninsula Borough,2020,1493,58.616599,-156.196458
02170,Alaska,AK,Matanuska-Susitna Borough,2020,110213,61.607225,-149.432884
02180,Alaska,AK,Nome Census Area,2020,9909,64.43209,-165.271059
02185,Alaska,AK,North Slope Borough,2020,9294,70.481329,-155.268457
02188,Alaska,AK,Northwest Arctic Borough,2020,7644,66.896825,-161.593439
02195,Alaska,AK,Petersburg Census Area,2020,3296,56.795091,-132.943563
02201,Alaska,AK,Prince of Wales-Hyder Census Area,2020,6147,55.59077,-132.668824
02220,Alaska,AK,Sitka City and Borough,2020,8405,57.062789,-135.335988
02232,Alaska,AK,Skagway Municipality,2020,1179,59.465893,-135.310551
02240,Alaska,AK,Southeast Fairbanks Census Area,2020,6957,63.861797,-144.709613
02261,Alaska,AK,Valdez-Cordova Census Area,2020,2510,60.881369,-146.199156
02270,Alaska,AK,Wade Hampton Census Area,2020,8314,62.076819,-164.34049
02280,Alaska,AK,Wrangell City and Borough,2020,2502,56.426145,-132.355422
02282,Alaska,AK,Yakutat City and Borough,2020,637,59.545099,-139.714649
02290,Alaska,AK,Yukon-Koyukuk Census Area,2020,5077,64.966418,-152.644938
04001,Arizona,AZ,Apache County,2020,71875,35.543661,-109.419267
04003,Arizona,AZ,Cochise County ,2020,127450,31.603489,-110.072931
04005,Arizona,AZ,Coconino County,2020,142481,35.476115,-111.601249
04007,Arizona,AZ,Gila County,2020,54303,33.844385,-111.016445
04009,Arizona,AZ,Graham County,2020,39211,32.867146,-109.808397
04011,Arizona,AZ,Greenlee County,2020,9341,32.985037,-109.259575
04012,Arizona,AZ,La Paz County,2020,21480,33.954191,-114.183926
04013,Arizona,AZ,Maricopa County,2020,4579081,33.490148,-112.044184
04015,Arizona,AZ,Mohave County,2020,217206,35.034512,-114.261317
04017,Arizona,AZ,Navajo County,2020,112112,34.862167,-110.206316
04019,Arizona,AZ,Pima County,2020,1061175,32.216427,-110.958067
04021,Arizona,AZ,Pinal County,2020,480828,33.069324,-111.602251
04023,Arizona,AZ,Santa Cruz County,2020,46808,31.439233,-110.945937
04025,Arizona,AZ,Yavapai County,2020,240226,34.628745,-112.273722
04027,Arizona,AZ,Yuma County,2020,217824,32.64139,-114.60539
05001,Arkansas,AR,Arkansas County,2020,17383,34.403487,-91.460954
05003,Arkansas,AR,Ashley County,2020,19339,33.17959,-91.877873
05005,Arkansas,AR,Baxter County,2020,42242,36.331791,-92.383944
05007,Arkansas,AR,Benton County,2020,288774,36.335053,-94.230305
05009,Arkansas,AR,Boone County,2020,37625,36.26661,-93.09877
05011,Arkansas,AR,Bradley County,2020,10639,33.574422,-92.101251
05013,Arkansas,AR,Calhoun County,2020,5113,33.58599,-92.500678
05015,Arkansas,AR,Carroll County,2020,28276,36.375745,-93.574776
05017,Arkansas,AR,Chicot County,2020,9924,33.325951,-91.318456
05019,Arkansas,AR,Clark County,2020,22103,34.099325,-93.123997
05021,Arkansas,AR,Clay County,2020,14375,36.370288,-90.366465
05023,Arkansas,AR,Cleburne County,2020,24935,35.507218,-92.037731
05025,Arkansas,AR,Cleveland County,2020,7957,33.912968,-92.136372
05027,Arkansas,AR,Columbia County,2020,23331,33.258766,-93.247158
05029,Arkansas,AR,Conway County,2020,21037,35.212991,-92.705889
05031,Arkansas,AR,Craighead County,2020,112245,35.835762,-90.669235
05033,Arkansas,AR,Crawford County,2020,63409,35.494096,-94.285898
05035,Arkansas,AR,Crittenden County,2020,47616,35.176704,-90.213537
